Student_ID,Name,Email,Phone,Course,Fee_Paid,City,Enrolled_Date
STU1003,Ravi Kumar,INVALID_EMAIL,9123456789,Python,TRUE,Madurai,2/19/25
STU1005,Karthik,INVALID_EMAIL,MISSING,Python,TRUE,UNKNOWN,2/8/25
STU1007,Suresh T,INVALID_EMAIL,7654321098,Python,FALSE,Trichy,1/14/25
STU1009,Rajesh Kk,INVALID_EMAIL,8877665544,Python,TRUE,Coimbatore,5/15/25
STU1012,Meena D,INVALID_EMAIL,MISSING,Machine Learning,TRUE,Salem,2/21/25
STU1017,Dinesh R,INVALID_EMAIL,8080808080,Data Science,TRUE,Madurai,2/23/25
STU1019,Bala K,INVALID_EMAIL,7070707070,Machine Learning,FALSE,Salem,6/12/25
STU1022,Geetha,INVALID_EMAIL,9393939393,Data Science,FALSE,Coimbatore,5/8/25
STU1025,Senthil K,INVALID_EMAIL,,Python,FALSE,Trichy,5/15/25
STU1029,Gopal V,INVALID_EMAIL,9010101010,Python,TRUE,Coimbatore,1/12/25
STU1035,Karthi P,INVALID_EMAIL,7565656565,Python,TRUE,Coimbatore,2/14/25
STU1037,Venkat R,INVALID_EMAIL,8787878787,Python,FALSE,Trichy,2/12/25
STU1040,Dharani S,INVALID_EMAIL,7909090909,Data Science,FALSE,UNKNOWN,4/19/25
STU1042,Padma V,INVALID_EMAIL,9121212121,Python,TRUE,Coimbatore,3/22/25
STU1045,Selvam K,INVALID_EMAIL,8343434343,Machine Learning,TRUE,Salem,2/28/25
STU1049,Suresh B,INVALID_EMAIL,,Python,FALSE,Madurai,4/20/25
